台北市信義區光復南路,大樓,1 房 1 廳 1 衛,8.48,14,11500000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,13,6,16870000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,16.51,15,1345.00000,房仲網
台北市信義區吳興街,公寓,3 房 0 廳 3 衛,22.52,37,16800000,房仲網
台北市信義區基隆路一段,大樓,0 房 1 廳 1 衛,12.68,13,11500000,房仲網
台北市信義區基隆路一段,大樓,0 房 1 廳 1 衛,9.88,9,13730000,房仲網
台北市信義區信義路四段,大樓,1 房 1 廳 1 衛,15.65,38,18800000,房仲網
台北市信義區林口街,公寓,3 房 2 廳 2 衛,23.43,43,16000000,房仲網
台北市信義區基隆路一段,大樓,1 房 1 廳 1 衛,14.98,32,1488.00000,房仲網
台北市信義區吳興街,大樓,1 房 1 廳 1 衛,11.15,19,880.00000,房仲網
台北市信義區光復南路,公寓,1 房 1 廳 1 衛,15.49,30,17000000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,13,6,16500000,房仲網
台北市信義區永吉路,透天,2 房 2 廳 1 衛,11.12,53,48000000,房仲網
台北市信義區和平東路三段,公寓,3 房 2 廳 2 衛,22.84,36,18300000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,13.99,26,12450000,房仲網
台北市信義區吳興街,大樓,2 房 1 廳 1 衛,21.5,21,1845.00000,房仲網
台北市信義區吳興街,透天,0 房 0 廳 0 衛,24.56,47,50000000,房仲網
台北市信義區基隆路一段,大樓,0 房 2 廳 1 衛,18.42,1,21800000,房仲網
台北市信義區光復南路,公寓,0 房 1 廳 1 衛,8.48,15,1150.00000,房仲網
台北市信義區永吉路,大樓,0 房 1 廳 1 衛,14.03,3,17800000,房仲網
台北市信義區吳興街,公寓,1 房 1 廳 1 衛,13.52,24,1080.00000,房仲網
台北市信義區松山路,公寓,4 房 0 廳 4 衛,24.17,46,17960000,房仲網
